epoch,train_loss,test_loss,test_auc
1,0.0942857969988996,0.0839670999152606,0.8385706654389361
2,0.0834242275747588,0.0817389686589933,0.8468894471862041
3,0.0813308222170619,0.0792727692470647,0.8576569193078003
4,0.0789982711888261,0.0769177911666635,0.8633942955757288
5,0.0773269874866863,0.0758623538652326,0.8659459269029299
6,0.0762509512529907,0.0747048218952343,0.867477651666835
7,0.0754352770589099,0.0744558826721216,0.8696828687959899
8,0.0748951970157756,0.0735031265706719,0.869345360448148
9,0.0744741004656011,0.0729583661475157,0.870816650835345
10,0.0740574238104681,0.0727140023425912,0.871119461306563
11,0.0736657438069378,0.0726033584330627,0.8727559007100085
12,0.0733023706740238,0.0719005098882783,0.8738718572210141
13,0.0728300727987381,0.0717915908632186,0.8745677547690753
14,0.072587153017742,0.0717966927331919,0.8738726407498376
15,0.0722911346597884,0.0720499119114561,0.8748951479166136
16,0.0721001545652507,0.0715063243519282,0.8767109166939189
17,0.0719480607478878,0.0708661299435483,0.8765137660931351
18,0.0717850780392043,0.0708998935446301,0.8775790465415372
19,0.0716132869726389,0.0705917808415212,0.877976818121343
20,0.0715653774998969,0.071631947543534,0.8773794201482565
21,0.0714093271272929,0.0706076337889752,0.879118848435562
22,0.071282811721553,0.0703346584188779,0.8789930003048538
23,0.0712308148584754,0.0702913532071253,0.8793272680547276
24,0.0711634668081597,0.0707005521487529,0.879151136176473
25,0.071101458360545,0.0701807756715029,0.8795232100940787
26,0.0709686089105231,0.0699462548198519,0.879086105627374
27,0.0709119135458026,0.069811179731364,0.8802351494983176
28,0.0708806832365672,0.07051693791785,0.8801417034153278
29,0.0708492721936574,0.0698111000371916,0.8804008016236694
30,0.0708335999918123,0.0699724356796506,0.8784229670842807
31,0.0707197223822584,0.0698192586679796,0.8792351986170381
32,0.0706855957510043,0.0695481155754626,0.8795933293551301
33,0.0706033625295102,0.0694520417769085,0.8799439736652672
34,0.0705805478175721,0.0695059514739611,0.8799375841876123
35,0.0704842993501576,0.070522388381873,0.8803624711182244
36,0.0705016370738853,0.0695507152317377,0.8805004733578212
37,0.0704962594038531,0.0695525167278706,0.8803612685335993
38,0.0704159714906395,0.0693084426587439,0.8801261811449738
39,0.0702332540713258,0.0694195164305804,0.8797282506752965
40,0.0702923272536377,0.0697730165279677,0.8807292731843089
41,0.0703223542561155,0.0707433093956964,0.8801734188804333
42,0.0702049981511269,0.0691500487851611,0.8811175987062511
43,0.0701380770547998,0.0690395370125014,0.8811833424607622
44,0.0701148106511385,0.0691578980887972,0.8809963951507
45,0.0700024201319207,0.0695627474221412,0.8814061626671381
46,0.06998849763321,0.0695178844490031,0.8812215971661866
47,0.0699391550864241,0.069260527059477,0.8815330427919247
48,0.0698571920677178,0.0686906739357201,0.8816072312672947
49,0.0698817512000094,0.0685368652371621,0.8815357463454232
50,0.0698308991665919,0.0689921167887066,0.8818928915809303
51,0.0697983901329933,0.069388629446765,0.8800116750119449
52,0.0696643661436923,0.0684542723699641,0.8818626856449194
53,0.0695756284359541,0.0694404205221437,0.8811161218151318
54,0.0696024203088323,0.0689325785574259,0.8815623617332633
55,0.0695351979768275,0.0719491256196105,0.8786115347501676
56,0.069468498008466,0.0681851502149745,0.8815357051855942
57,0.0694059413937157,0.068829269328242,0.8825302641207335
58,0.0695224614340499,0.0682248704626991,0.8818210206732228
59,0.0694207894767034,0.0686026793850999,0.8832282111227652
60,0.0693653610184143,0.0681980810324838,0.8820085113868164
61,0.0693098657613833,0.0682521181495291,0.8816785992207901
62,0.0692006085930311,0.0681132870807778,0.8829045216948104
63,0.0692320249307334,0.0686812625575006,0.8815853644775004
64,0.06917041887775,0.0680442556728576,0.8823948919210352
65,0.069103320086703,0.0683478640234943,0.8829053095080073
66,0.0690708730025022,0.0691093253456378,0.8833663390160091
67,0.0691283838908396,0.0684814980916317,0.8815115025268275
68,0.0689965447459768,0.0678135565073296,0.8826213641162006
69,0.0690768783261086,0.0692338260163298,0.8823782875955071
70,0.0690425758474661,0.0677731277933371,0.8829125262833067
71,0.0689591232334293,0.0682148620748655,0.8811758685804094
72,0.0689537818647196,0.0683498071407282,0.8823461426187386
73,0.0689236629993362,0.068006993352093,0.883100327589127
