epoch,train_loss,test_loss,test_auc
1,0.06332496466900218,0.05445157367957144,0.9110709323372015
2,0.053838264001246534,0.05359601332769161,0.9147493152624796
3,0.05286253561793928,0.053030198835075176,0.9181750631141941
4,0.0522237766584756,0.053044679395295766,0.9192903757783275
5,0.0517440799028491,0.05275429315081518,0.920621127336534
6,0.05120189252532683,0.05260464395060794,0.9224691755474708
7,0.05075266546959169,0.05212980858302729,0.9235464897273595
8,0.05038770244086828,0.05250143394884665,0.9240880960274129
9,0.04996618049044978,0.051928957213882576,0.9246668238806979
10,0.04957598873476039,0.052124875145330936,0.9260213675665654
11,0.04918389761173494,0.051807067624665804,0.9260975281341846
12,0.04876790344700787,0.05193281466087728,0.9266298476897097
13,0.04828065150994052,0.05234410173264732,0.926876589607933
14,0.04788588424484315,0.05203645759904897,0.9273806452125567
15,0.047427454190335054,0.051973774438302124,0.9278976546886195
16,0.04692729195758282,0.05244032132642586,0.9286508765445853
17,0.04648569620713042,0.05248631891133874,0.9284320088669349
18,0.04590468207484728,0.05237392265050525,0.9284991853927532
19,0.04538102881475437,0.05268169465717002,0.928528263673075
20,0.04487300003700983,0.053505113026413524,0.9287539104406578
21,0.04433030235409638,0.053376205384918954,0.9293102923846958
22,0.0437556962544595,0.05294148157505173,0.9288153872744109
23,0.04315373710616689,0.05332400530851203,0.9284787864876564
24,0.042563310083840254,0.05369713092291081,0.9291091373737655
25,0.04211433292890545,0.053256236726978046,0.9293268146022974
26,0.04145819664404778,0.053406554003786015,0.9291837964751547
27,0.040824841914506034,0.05409984955413429,0.9294842086605405
28,0.040251498205657384,0.05402700051890828,0.9298527758402826
29,0.03971661866175852,0.054681720951640575,0.9295438665367871
30,0.039186582142895506,0.05509105657260648,0.9296675437703579
31,0.03849608875451386,0.05444560100358272,0.9291159374933656
32,0.038083659080864044,0.05801556710296926,0.9294160158073834
33,0.03742384198701827,0.054934238088279366,0.9296580542008779
34,0.036851538637742785,0.055317493081832564,0.9294490867090743
35,0.036317663264035474,0.056568145123477444,0.9293177121426799
36,0.03590249499755126,0.05660023278572297,0.9295025737983001
37,0.03539631002633837,0.05634867066682804,0.9297188612427854
38,0.03474100472414492,0.05591182005808555,0.9292208203602971
39,0.03441292733121511,0.05761284889904654,0.9295148819144377
40,0.0339829303137739,0.0585850395268221,0.9295965748874462
41,0.033489734823716186,0.05776520592275808,0.9296685487338043
42,0.03311797803522346,0.057193191400280764,0.9288148727957306
43,0.03266156078631086,0.05776174348288003,0.9283173023403186
44,0.03225064237425318,0.057728053970837724,0.9291527342626491
45,0.031904981661801786,0.057812037297206284,0.9285639275644229
46,0.03154285837810778,0.05798162964420812,0.9284603304913328
47,0.03118099132133425,0.059808989408678535,0.9292506277131343
48,0.030805454117136106,0.05845297220887899,0.9285596449598728
49,0.03046445353073897,0.05831295508234024,0.9281839006072232
50,0.03012967114964013,0.05957861564431562,0.9285513054683483
