epoch,train_loss,test_loss,test_auc
1,0.21278521668496012,0.14515317460665336,0.703853232793298
2,0.10529738220185796,0.08067784081093776,0.8405505418156312
3,0.07130384985121745,0.06565691318171911,0.8691043879059425
4,0.0630297887410167,0.06130233521644886,0.8777972701364263
5,0.0601158563542781,0.059308648897478215,0.883033002802663
6,0.058556009119352964,0.05808643886867242,0.8867104416665474
7,0.05753751185758016,0.05735042500190246,0.8891090319558338
8,0.05683609205474959,0.056671289082330004,0.8918755941583826
9,0.05625341397627622,0.056162469124851316,0.8935921911645031
10,0.05578726273077198,0.05589811054941935,0.8951648236729302
11,0.055399265965517565,0.05553318887280348,0.8966836965604902
12,0.05505968799484493,0.05533836051248587,0.8980825584418847
13,0.05475872113734861,0.05504850265928186,0.8992250581316253
14,0.054485641785343236,0.054812231101095676,0.9004347063417328
15,0.05426794745004441,0.05468774931982924,0.9012617191670271
16,0.05404965317206858,0.054543089682761677,0.9022499190584865
17,0.05384148079666156,0.05435044166799157,0.9032089938001377
18,0.05365807123340761,0.054266420825838275,0.9039537119387792
19,0.05348213100098545,0.05420110730502086,0.9047972051568091
20,0.05332544577437677,0.05400777063690699,0.9055442881276418
21,0.053174899961752224,0.05397901161072346,0.9059502908178168
22,0.05302927094287699,0.05393369279754085,0.9069645414507637
23,0.052891225648360164,0.053779448119875714,0.9075092378614015
24,0.05275702638009304,0.05371883738403901,0.9080218273814341
25,0.05261144418080774,0.05364598589352308,0.9085983519610744
26,0.05248840816342567,0.05362275572350392,0.9086716257091553
27,0.05238344414230389,0.05353344449152549,0.9094720282537541
28,0.05228361634160333,0.05357160412061673,0.9099948857066847
29,0.05215462043150505,0.05344559762101525,0.9105276483176091
30,0.05204058511630644,0.05346109603460018,0.9107330973921905
31,0.05192570230345937,0.05339149734339653,0.9111622675454959
32,0.05181985501129227,0.05337654823103012,0.9116214352238332
33,0.05173134069323917,0.05327014051950895,0.9122398740163015
34,0.05161186127888062,0.053314725235582165,0.912734376040202
35,0.0515402895280549,0.05321846422381126,0.912839227451447
36,0.051432951011612445,0.05311649344049585,0.9132445085465105
37,0.05134508995740097,0.05312275551020717,0.9135611758589403
38,0.051254741876987336,0.053120433126027,0.913939608408131
39,0.05115829898586756,0.05307498983800029,0.9140307607482717
40,0.05106348447100837,0.05301502650269331,0.9143574558924643
41,0.05097175341193812,0.05307028687391908,0.914631106505474
42,0.050900548572734565,0.052967087688067786,0.9148628619203162
43,0.05080067763057879,0.053004917497627244,0.9153945524615703
44,0.05072415719704726,0.05294108003951036,0.9154450655261351
45,0.05061847258571394,0.052932159043848515,0.9155941850547592
46,0.050557041411064096,0.052891022322747186,0.91585990187162
47,0.05045973378693378,0.05289979134566891,0.9160995695427976
48,0.05037017336374597,0.052940107261141144,0.9163515094578971
49,0.05028064497687583,0.05289000436329307,0.9165289228854082
50,0.05021957248520059,0.052905143763965524,0.9165667443518354
51,0.05014840808190123,0.05281868973412575,0.9167829088227161
52,0.05007112313274153,0.05288893747358368,0.9170146107418596
53,0.04996368642660636,0.05288704804694041,0.9171905512215798
54,0.04987703636288643,0.0528501861442167,0.9172668346917524
55,0.04981417523083996,0.052836760926323056,0.9175629195190012
56,0.04971900946590342,0.05290695620127595,0.9176007505176274
57,0.04966454865127991,0.05288924662491832,0.9178613529106094
58,0.049574986377235834,0.052848753901437305,0.9176448877193248
59,0.04948281795022231,0.0529079096367917,0.9179752484145177
60,0.0494438247295403,0.052865978461714126,0.9181355471530928
61,0.049338386806694765,0.052818956068502024,0.9179311463603158
62,0.04926972082356298,0.0529205720895567,0.9182523207315848
63,0.049200591006422344,0.052964577260307774,0.9184767190582442
64,0.04912210037177311,0.05285739967933832,0.9185636525848199
65,0.04903662645647043,0.052898131955701574,0.9187161300293586
66,0.04894949465730711,0.052884969454354204,0.918722740121708
67,0.0488859256906317,0.05279348625873144,0.9184767941989124
68,0.04880120115991257,0.05296514675212212,0.9189798363224986
69,0.04874292547119003,0.05288810056085006,0.9190484953652523
70,0.04866333431387438,0.05292697641282128,0.9188683655353846
71,0.048586758448966316,0.052928565738674924,0.9192231107315221
72,0.048519184123253144,0.0529616352600547,0.9191715391964439
73,0.048426210184734836,0.052917564693742834,0.9191310481417254
74,0.04838737416894564,0.05292200886954864,0.9191328740366492
75,0.04827902645839355,0.05296557383516278,0.9194077166377417
76,0.048227422452189875,0.0529917906372784,0.9194567628791092
77,0.04811996665394193,0.053044924894586586,0.9195092380916291
78,0.04804622516318967,0.053054557038614385,0.9194437199196966
79,0.04795761478333911,0.05314862594390527,0.9195968131658677
80,0.047918416512540626,0.053112453590027794,0.9196456556273587
81,0.04780036212782128,0.053134897556633524,0.9196711991743123
82,0.04774526139438341,0.05311027656380947,0.9195206808879041
83,0.047637456132075456,0.05330421055595462,0.9196614004705721
84,0.04760979443104773,0.05324369479114047,0.9199030373280144
85,0.047523702029138803,0.053191576475420825,0.9197348143766457
86,0.04746916689143717,0.05324879656426418,0.9196280076241298
87,0.04738560639015293,0.053254484151227355,0.9195615056619411
88,0.047324909339364195,0.053123083335753433,0.9196081123937029
